sampleRate,layer_num,node1,node2,node3,activation,dropout,loss,acc
20000,3,30,60,30,relu,0.3,0.004944389035925269,1.0
30000,3,60,50,10,tanh,0.3,0.020786414079368116,1.0
40000,2,20,50,40,relu,0.3,0.02783857209980488,1.0
30000,3,10,40,40,tanh,0.1,0.04246083225309849,0.9940000176429749
20000,2,50,40,10,relu,0.2,0.0794516509771347,0.9860000014305115
20000,3,30,20,60,tanh,0.3,0.0354988304823637,0.9900000095367432
20000,2,40,20,30,relu,0.1,0.05551186469197273,0.9959999918937683
10000,2,60,60,40,tanh,0.1,0.21221254432201386,0.8700000047683716
20000,3,60,40,30,relu,0.3,0.18918246519565582,0.8840000033378601
20000,2,30,10,50,relu,0.3,0.17723195242881776,0.8920000195503235
